STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140409,0,0,0,206,67,42,320,320,103,139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140410,0,0,0,222,72,45,200,220,107,143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140411,0,0,0,278,156,46,340,330,125,143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140412,0,0,0,250,139,31,350,350,67,81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140413,0,0,0,294,128,49,190,210,103,134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140414,15,0,0,267,183,73,200,190,134,161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140415,373,0,0,222,33,68,340,340,130,192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140416,0,0,0,106,11,60,340,350,134,174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140417,0,0,0,133,39,41,120,100,72,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140418,0,0,0,139,39,17,120,120,54,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140419,0,0,0,217,83,26,20,20,67,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140420,0,0,0,178,89,44,70,60,72,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140421,0,0,0,211,61,21,190,190,40,54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140422,8,0,0,222,111,39,330,320,98,139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140423,0,0,0,161,94,77,330,330,134,183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140424,0,0,0,189,72,35,320,340,89,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140425,99,0,0,206,89,37,120,120,98,112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140426,5,0,0,256,100,49,260,270,134,174,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140427,0,0,0,211,100,40,360,360,89,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140428,28,0,0,167,100,29,160,160,72,81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140429,307,0,0,111,67,41,100,100,98,116,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140430,686,0,0,194,111,36,290,290,103,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140501,41,0,0,250,139,33,330,330,103,130,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140502,0,0,0,222,128,38,300,260,89,125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140503,0,0,0,233,139,24,240,250,76,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140504,0,0,0,272,128,55,300,310,116,165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140505,97,0,0,189,100,41,350,350,89,112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140506,0,0,0,233,117,17,300,300,63,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140507,36,0,0,183,128,23,120,130,94,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140508,0,0,0,306,150,17,120,120,54,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140509,0,0,0,244,161,28,220,210,58,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140510,41,0,0,256,194,35,250,260,103,139,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140511,0,0,0,272,167,25,300,300,67,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140512,20,0,0,300,172,32,220,210,103,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140513,0,0,0,333,172,27,90,90,89,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140514,0,0,0,194,156,31,70,60,63,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140515,102,0,0,272,189,46,160,170,94,139,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140516,572,0,0,222,128,56,280,270,165,219,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140517,0,0,0,206,111,33,330,300,76,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140518,0,0,0,206,117,41,350,300,76,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140519,0,0,0,233,94,22,340,270,72,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140520,0,0,0,250,133,21,170,170,58,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140521,41,0,0,267,172,18,20,30,54,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140522,0,0,0,317,183,38,330,300,72,134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
